dm_keyword,dm_url,dm_message,dm_category,priority,group_id,button_label,notes
学校,https://www.hokkaido-miraizukan.jp/schools?utm_source=istep&utm_medium=dm&utm_campaign=launch_week1&utm_content=schools&dm_group=entry:schools,"コメントありがとうございます😊

北海道未来図鑑へようこそ！

知りたい情報を選んでください✨

🎓 学校を探す
⚽ 部活を探す
🏢 企業を探す
🏛️ 札幌市・行政の情報を見る",入口,A,entry:schools,🎓 学校を探す,パッケージ送信。ボタン4つはパッケージ側で設定
部活,https://www.hokkaido-miraizukan.jp/clubs?utm_source=istep&utm_medium=dm&utm_campaign=launch_week1&utm_content=clubs&dm_group=entry:clubs,"コメントありがとうございます😊

北海道未来図鑑へようこそ！

知りたい情報を選んでください✨

🎓 学校を探す
⚽ 部活を探す
🏢 企業を探す
🏛️ 札幌市・行政の情報を見る",入口,A,entry:clubs,⚽ 部活を探す,パッケージ送信。ボタン4つはパッケージ側で設定
企業,https://www.hokkaido-miraizukan.jp/companies?utm_source=istep&utm_medium=dm&utm_campaign=launch_week1&utm_content=companies&dm_group=entry:companies,"コメントありがとうございます😊

北海道未来図鑑へようこそ！

知りたい情報を選んでください✨

🎓 学校を探す
⚽ 部活を探す
🏢 企業を探す
🏛️ 札幌市・行政の情報を見る",入口,A,entry:companies,🏢 企業を探す,パッケージ送信。ボタン4つはパッケージ側で設定
会社,https://www.hokkaido-miraizukan.jp/companies?utm_source=istep&utm_medium=dm&utm_campaign=launch_week1&utm_content=companies&dm_group=entry:companies,"コメントありがとうございます😊

北海道未来図鑑へようこそ！

知りたい情報を選んでください✨

🎓 学校を探す
⚽ 部活を探す
🏢 企業を探す
🏛️ 札幌市・行政の情報を見る",入口,A,entry:companies,🏢 企業を探す,「企業」の言い換え
札幌市,https://www.hokkaido-miraizukan.jp/area/sapporo?utm_source=istep&utm_medium=dm&utm_campaign=launch_week1&utm_content=sapporo_gov&dm_group=entry:sapporo,"コメントありがとうございます😊

北海道未来図鑑へようこそ！

知りたい情報を選んでください✨

🎓 学校を探す
⚽ 部活を探す
🏢 企業を探す
🏛️ 札幌市・行政の情報を見る",行政・地域,A,entry:sapporo,🏛️ 札幌市・行政の情報を見る,札幌エリアページへ（行政記事含む）
行政,https://www.hokkaido-miraizukan.jp/area/sapporo?utm_source=istep&utm_medium=dm&utm_campaign=launch_week1&utm_content=sapporo_gov&dm_group=entry:sapporo,"コメントありがとうございます😊

北海道未来図鑑へようこそ！

知りたい情報を選んでください✨

🎓 学校を探す
⚽ 部活を探す
🏢 企業を探す
🏛️ 札幌市・行政の情報を見る",行政・地域,A,entry:sapporo,🏛️ 札幌市・行政の情報を見る,札幌エリアページへ
札幌,https://www.hokkaido-miraizukan.jp/area/sapporo?utm_source=istep&utm_medium=dm&utm_campaign=launch_week1&utm_content=sapporo_gov&dm_group=entry:sapporo,"コメントありがとうございます😊

北海道未来図鑑へようこそ！

知りたい情報を選んでください✨

🎓 学校を探す
⚽ 部活を探す
🏢 企業を探す
🏛️ 札幌市・行政の情報を見る",行政・地域,A,entry:sapporo,🏛️ 札幌市・行政の情報を見る,反応が多い想定
未来図鑑,https://www.hokkaido-miraizukan.jp/schools?utm_source=istep&utm_medium=dm&utm_campaign=launch_week1&utm_content=schools&dm_group=entry:schools,"コメントありがとうございます😊

北海道未来図鑑へようこそ！

知りたい情報を選んでください✨

🎓 学校を探す
⚽ 部活を探す
🏢 企業を探す
🏛️ 札幌市・行政の情報を見る",入口,A,entry:brand,🎓 学校を探す,アカウント名・サイト名コメント用
ラクロス,https://www.hokkaido-miraizukan.jp/clubs?utm_source=istep&utm_medium=dm&utm_campaign=launch_week1&utm_content=clubs&dm_group=entry:clubs,"コメントありがとうございます😊

北海道未来図鑑へようこそ！

知りたい情報を選んでください✨

🎓 学校を探す
⚽ 部活を探す
🏢 企業を探す
🏛️ 札幌市・行政の情報を見る",競技,B,sport:lacrosse,⚽ 部活を探す,初回はカテゴリ選択パッケージ共通
卓球,https://www.hokkaido-miraizukan.jp/clubs?utm_source=istep&utm_medium=dm&utm_campaign=launch_week1&utm_content=clubs&dm_group=entry:clubs,"コメントありがとうございます😊

北海道未来図鑑へようこそ！

知りたい情報を選んでください✨

🎓 学校を探す
⚽ 部活を探す
🏢 企業を探す
🏛️ 札幌市・行政の情報を見る",競技,B,sport:table-tennis,⚽ 部活を探す,初回はカテゴリ選択パッケージ共通
アメフト,https://www.hokkaido-miraizukan.jp/clubs?utm_source=istep&utm_medium=dm&utm_campaign=launch_week1&utm_content=clubs&dm_group=entry:clubs,"コメントありがとうございます😊

北海道未来図鑑へようこそ！

知りたい情報を選んでください✨

🎓 学校を探す
⚽ 部活を探す
🏢 企業を探す
🏛️ 札幌市・行政の情報を見る",競技,B,sport:american-football,⚽ 部活を探す,初回はカテゴリ選択パッケージ共通
アイスホッケー,https://www.hokkaido-miraizukan.jp/clubs?utm_source=istep&utm_medium=dm&utm_campaign=launch_week1&utm_content=clubs&dm_group=entry:clubs,"コメントありがとうございます😊

北海道未来図鑑へようこそ！

知りたい情報を選んでください✨

🎓 学校を探す
⚽ 部活を探す
🏢 企業を探す
🏛️ 札幌市・行政の情報を見る",競技,B,sport:ice-hockey,⚽ 部活を探す,初回はカテゴリ選択パッケージ共通
バスケット,https://www.hokkaido-miraizukan.jp/clubs?utm_source=istep&utm_medium=dm&utm_campaign=launch_week1&utm_content=clubs&dm_group=entry:clubs,"コメントありがとうございます😊

北海道未来図鑑へようこそ！

知りたい情報を選んでください✨

🎓 学校を探す
⚽ 部活を探す
🏢 企業を探す
🏛️ 札幌市・行政の情報を見る",競技,B,sport:basketball,⚽ 部活を探す,バスケットボールの短縮
バスケ,https://www.hokkaido-miraizukan.jp/clubs?utm_source=istep&utm_medium=dm&utm_campaign=launch_week1&utm_content=clubs&dm_group=entry:clubs,"コメントありがとうございます😊

北海道未来図鑑へようこそ！

知りたい情報を選んでください✨

🎓 学校を探す
⚽ 部活を探す
🏢 企業を探す
🏛️ 札幌市・行政の情報を見る",競技,B,sport:basketball-short,⚽ 部活を探す,さらに短い言い換え
北海道大学,https://www.hokkaido-miraizukan.jp/schools?utm_source=istep&utm_medium=dm&utm_campaign=launch_week1&utm_content=schools&dm_group=entry:schools,"コメントありがとうございます😊

北海道未来図鑑へようこそ！

知りたい情報を選んでください✨

🎓 学校を探す
⚽ 部活を探す
🏢 企業を探す
🏛️ 札幌市・行政の情報を見る",学校名,B,school:hokkaido-university,🎓 学校を探す,代表校
北大,https://www.hokkaido-miraizukan.jp/schools?utm_source=istep&utm_medium=dm&utm_campaign=launch_week1&utm_content=schools&dm_group=entry:schools,"コメントありがとうございます😊

北海道未来図鑑へようこそ！

知りたい情報を選んでください✨

🎓 学校を探す
⚽ 部活を探す
🏢 企業を探す
🏛️ 札幌市・行政の情報を見る",学校名,B,school:hokudai,🎓 学校を探す,略称
札幌大学,https://www.hokkaido-miraizukan.jp/schools?utm_source=istep&utm_medium=dm&utm_campaign=launch_week1&utm_content=schools&dm_group=entry:schools,"コメントありがとうございます😊

北海道未来図鑑へようこそ！

知りたい情報を選んでください✨

🎓 学校を探す
⚽ 部活を探す
🏢 企業を探す
🏛️ 札幌市・行政の情報を見る",学校名,B,school:sapporo-university,🎓 学校を探す,代表校
北海学園大学,https://www.hokkaido-miraizukan.jp/schools?utm_source=istep&utm_medium=dm&utm_campaign=launch_week1&utm_content=schools&dm_group=entry:schools,"コメントありがとうございます😊

北海道未来図鑑へようこそ！

知りたい情報を選んでください✨

🎓 学校を探す
⚽ 部活を探す
🏢 企業を探す
🏛️ 札幌市・行政の情報を見る",学校名,B,school:hokkai-gakuen,🎓 学校を探す,代表校
